open_time,close_time,open,high,low,close,volume,tick_count
2024-06-05 10:00:00.000,2024-06-05 10:00:06.792,71030.9,71030.9,71030.9,71030.9,2.0744,38
2024-06-05 10:00:07.262,2024-06-05 10:00:19.971,71030.9,71039.5,71030.9,71039.5,9.82096,87
2024-06-05 10:00:20.989,2024-06-05 10:00:32.815,71039.5,71052,71036.3,71036.3,7.72081,205
2024-06-05 10:00:33.333,2024-06-05 10:00:45.875,71036.3,71046.9,71036.3,71046.9,4.95859,149
2024-06-05 10:00:46.459,2024-06-05 10:00:58.848,71046.9,71046.9,71046.9,71046.9,1.11206,57
2024-06-05 10:00:59.728,2024-06-05 10:01:11.933,71046.9,71050,71046.9,71050,4.33278,100
2024-06-05 10:01:12.043,2024-06-05 10:01:24.922,71050,71065.4,71048,71048,6.15376,202
2024-06-05 10:01:25.244,2024-06-05 10:01:37.650,71048,71048,71029.2,71029.2,3.2394,135
2024-06-05 10:01:38.168,2024-06-05 10:01:50.835,71029.2,71034.3,71024,71024,3.97285,121
2024-06-05 10:01:51.199,2024-06-05 10:02:03.857,71024,71024,71024,71024,2.36009,119
2024-06-05 10:02:04.208,2024-06-05 10:02:16.985,71024,71035.9,71022.2,71022.2,9.78307,165
2024-06-05 10:02:17.176,2024-06-05 10:02:29.927,71022.2,71022.2,71022.2,71022.2,1.06794,77
2024-06-05 10:02:30.022,2024-06-05 10:02:42.761,71022.2,71022.2,71022.2,71022.2,1.03762,76
2024-06-05 10:02:51.694,2024-06-05 10:02:51.126,71022.2,71022.2,71020,71022.2,1.35207,64
2024-06-05 10:02:56.090,2024-06-05 10:03:08.995,71020,71020,71012,71012,1.81483,98
2024-06-05 10:03:09.733,2024-06-05 10:03:21.741,71012,71017.3,71012,71017.3,2.80432,97
2024-06-05 10:03:22.038,2024-06-05 10:03:34.657,71017.3,71038.6,71017.3,71038.6,4.94816,201
2024-06-05 10:03:35.079,2024-06-05 10:03:46.934,71038.6,71038.6,71038.5,71038.5,2.095,91
2024-06-05 10:03:48.648,2024-06-05 10:04:00.979,71038.6,71038.6,71038.5,71038.6,1.47309,117
2024-06-05 10:04:01.004,2024-06-05 10:04:13.954,71038.6,71064,71038.5,71064,3.80783,157
2024-06-05 10:04:14.179,2024-06-05 10:04:26.793,71064,71072.2,71064,71072.2,2.9812,170
2024-06-05 10:04:27.253,2024-06-05 10:04:39.527,71072.2,71090,71072.2,71080.4,7.22798,384
2024-06-05 10:04:40.082,2024-06-05 10:04:52.936,71080.4,71080.4,71080.4,71080.4,5.37172,74
2024-06-05 10:04:53.026,2024-06-05 10:05:05.931,71080.4,71080.4,71080.4,71080.4,2.91378,86
2024-06-05 10:05:12.934,2024-06-05 10:05:12.677,71073,71085.6,71073,71073,3.36193,106
2024-06-05 10:05:19.089,2024-06-05 10:05:31.979,71085.6,71144.6,71085.6,71144.6,39.115,688
2024-06-05 10:05:32.062,2024-06-05 10:05:44.565,71144.6,71144.6,71139.6,71139.6,11.3395,121
2024-06-05 10:05:45.252,2024-06-05 10:05:57.963,71139.6,71158.2,71134.1,71153,25.1508,535
2024-06-05 10:06:09.660,2024-06-05 10:06:09.658,71140,71153,71134.1,71140,4.44577,176
